team_a,team_b,a_wins,b_wins,n
CYBERSHOKE Esports,FAVBET Team,5.0,2.0,7
RED Canids,Legacy,4.0,3.0,7
Team Liquid,G2 Esports,1.0,6.0,7
Aurora Gaming,Natus Vincere,0.0,7.0,7
G2 Esports,Ninjas in Pyjamas,6.0,1.0,7
Astralis,FUT Esports,4.0,3.0,7
Ninjas in Pyjamas,G2 Esports,1.0,6.0,7
FAVBET Team,CYBERSHOKE Esports,2.0,5.0,7
Team Liquid,Team Vitality,0.0,7.0,7
FaZe Clan,Team 3DMAX,4.0,3.0,7
Nemiga Gaming,Zero Tenacity,5.0,2.0,7
Virtus.pro,Team Spirit,2.0,5.0,7
Team Liquid,MOUZ,1.0,6.0,7
Astralis,FURIA Esports,2.0,5.0,7
Zero Tenacity,Nemiga Gaming,2.0,5.0,7
MOUZ,The Mongolz,5.0,2.0,7
B8 Esports,Heroic,3.0,4.0,7
Virtus.pro,MIBR,3.0,4.0,7
MIBR,Sharks Esports,5.0,2.0,7
OG,Fnatic,3.0,4.0,7
Team Vitality,Team Liquid,7.0,0.0,7
Sharks Esports,MIBR,2.0,5.0,7
Heroic,BetBoom Team,3.0,4.0,7
Team 3DMAX,B8 Esports,2.0,5.0,7
Natus Vincere,Aurora Gaming,7.0,0.0,7
SAW,Team 3DMAX,2.0,5.0,7
Ninjas in Pyjamas,FaZe Clan,3.0,4.0,7
Legacy,RED Canids,3.0,4.0,7
Heroic,Team 3DMAX,4.0,3.0,7
Team 3DMAX,SAW,5.0,2.0,7
Team Falcons,G2 Esports,4.0,3.0,7
FUT Esports,Astralis,3.0,4.0,7
Aurora Gaming,Monte,2.0,5.0,7
FURIA Esports,Astralis,5.0,2.0,7
paiN Gaming,Virtus.pro,5.0,2.0,7
paiN Gaming,FURIA Esports,2.0,5.0,7
BetBoom Team,HOTU,6.0,1.0,7
FURIA Esports,paiN Gaming,5.0,2.0,7
MIBR,Virtus.pro,4.0,3.0,7
Sinners Esports,ECSTATIC,4.0,3.0,7
BIG,Virtus.pro,3.0,4.0,7
Astralis,paiN Gaming,4.0,3.0,7
Virtus.pro,BIG,4.0,3.0,7
Team 3DMAX,FaZe Clan,3.0,4.0,7
B8 Esports,Sinners Esports,4.0,3.0,7
Team Falcons,GamerLegion,5.0,2.0,7
MIBR,Imperial Esports,4.0,3.0,7
GamerLegion,Astralis,4.0,3.0,7
Fnatic,OG,4.0,3.0,7
ECSTATIC,Sinners Esports,3.0,4.0,7
Virtus.pro,Astralis,4.0,3.0,7
Team Liquid,M80,3.0,4.0,7
Astralis,GamerLegion,3.0,4.0,7
FaZe Clan,Ninjas in Pyjamas,4.0,3.0,7
Team 3DMAX,Heroic,3.0,4.0,7
G2 Esports,Team Falcons,3.0,4.0,7
MOUZ,Team Liquid,6.0,1.0,7
Sinners Esports,B8 Esports,3.0,4.0,7
Virtus.pro,paiN Gaming,2.0,5.0,7
Monte,Aurora Gaming,5.0,2.0,7
B8 Esports,Team 3DMAX,5.0,2.0,7
Astralis,Virtus.pro,3.0,4.0,7
M80,Team Liquid,4.0,3.0,7
Heroic,B8 Esports,4.0,3.0,7
Imperial Esports,MIBR,3.0,4.0,7
GamerLegion,Team Falcons,2.0,5.0,7
The Mongolz,MOUZ,2.0,5.0,7
Heroic,Team Liquid,2.0,4.0,6
Complexity,Team Liquid,1.0,5.0,6
Monte,ENCE,3.0,3.0,6
Zero Tenacity,FAVBET Team,5.0,1.0,6
Zero Tenacity,EYEBALLERS,4.0,2.0,6
Team Aunkere,Team Skywhywalker,4.0,2.0,6
Sinners Esports,BetBoom Team,1.0,5.0,6
Fluxo,BESTIA,4.0,2.0,6
Cloud9,FaZe Clan,0.0,6.0,6
Astralis,MIBR,5.0,1.0,6
Sangal Esports,Monte,4.0,2.0,6
OG,BIG,5.0,1.0,6
Sashi Esport,Passion UA,2.0,4.0,6
Sinners Esports,Zero Tenacity,2.0,4.0,6
G2 Esports,Heroic,5.0,1.0,6
NRG Esports,Nouns Esports,3.0,3.0,6
Lynn Vision Gaming,FURIA Esports,1.0,5.0,6
Fnatic,GamerLegion,2.0,4.0,6
PARIVISION,Team 3DMAX,1.0,5.0,6
ENCE,Astralis,3.0,3.0,6
MIBR,BetBoom Team,3.0,3.0,6
Team Falcons,Astralis,3.0,3.0,6
Astralis,ENCE,3.0,3.0,6
9Pandas,BetBoom Team,2.0,4.0,6
BetBoom Team,9Pandas,4.0,2.0,6
Zero Tenacity,Sinners Esports,4.0,2.0,6
Aurora Gaming,Apeks,4.0,2.0,6
BetBoom Team,Sinners Esports,5.0,1.0,6
Team Liquid,Legacy,4.0,2.0,6
Team Falcons,BetBoom Team,4.0,2.0,6
Metizport,Zero Tenacity,1.0,5.0,6
FaZe Clan,Cloud9,6.0,0.0,6
Team Liquid,Wildcard Gaming,5.0,1.0,6
MIBR,Astralis,1.0,5.0,6
BetBoom Team,Eternal Fire,2.0,4.0,6
Heroic,FaZe Clan,3.0,3.0,6
G2 Esports,M80,5.0,1.0,6
Team 3DMAX,Astralis,1.0,5.0,6
Passion UA,Zero Tenacity,1.0,5.0,6
FURIA Esports,Lynn Vision Gaming,5.0,1.0,6
FUT Esports,B8 Esports,4.0,2.0,6
The Mongolz,Eternal Fire,4.0,2.0,6
paiN Gaming,MOUZ,0.0,6.0,6
Team 3DMAX,MIBR,4.0,2.0,6
FaZe Clan,Aurora Gaming,3.0,3.0,6
Lynn Vision Gaming,The Mongolz,0.0,6.0,6
Astralis,Legacy,3.0,3.0,6
Passion UA,Permitta Esports,3.0,3.0,6
CYBERSHOKE Esports,Nemiga Gaming,3.0,3.0,6
Heroic,FURIA Esports,1.0,5.0,6
ECSTATIC,Natus Vincere Junior,1.0,5.0,6
BIG,Aurora Gaming,5.0,1.0,6
MOUZ,paiN Gaming,6.0,0.0,6
Zero Tenacity,Team 3DMAX,2.0,4.0,6
Sashi Esport,PARIVISION,1.0,5.0,6
Legacy,Team Liquid,2.0,4.0,6
FURIA Esports,Heroic,5.0,1.0,6
Nouns Esports,NRG Esports,3.0,3.0,6
Virtus.pro,Heroic,4.0,2.0,6
M80,G2 Esports,1.0,5.0,6
Case Esports,RED Canids,2.0,4.0,6
CYBERSHOKE Esports,Sangal Esports,3.0,3.0,6
FaZe Clan,Eternal Fire,4.0,2.0,6
Aurora Gaming,FaZe Clan,3.0,3.0,6
Natus Vincere,Team Falcons,2.0,4.0,6
Natus Vincere Junior,ECSTATIC,5.0,1.0,6
Team Liquid,Complexity,5.0,1.0,6
Zero Tenacity,Passion UA,5.0,1.0,6
Virtus.pro,G2 Esports,1.0,5.0,6
Zero Tenacity,Metizport,5.0,1.0,6
Heroic,G2 Esports,1.0,5.0,6
K27,WW Team,4.0,2.0,6
BetBoom Team,Nemiga Gaming,4.0,2.0,6
PARIVISION,Sashi Esport,5.0,1.0,6
G2 Esports,Virtus.pro,5.0,1.0,6
BetBoom Team,Team Falcons,2.0,4.0,6
paiN Gaming,GamerLegion,3.0,3.0,6
Sangal Esports,Nemiga Gaming,5.0,1.0,6
The Mongolz,Lynn Vision Gaming,6.0,0.0,6
B8 Esports,BetBoom Team,3.0,3.0,6
Team Falcons,Natus Vincere,4.0,2.0,6
Monte,Sangal Esports,2.0,4.0,6
Team Liquid,Heroic,4.0,2.0,6
Team Skywhywalker,Team Aunkere,2.0,4.0,6
Apeks,Aurora Gaming,2.0,4.0,6
FaZe Clan,Virtus.pro,3.0,3.0,6
Heroic,Virtus.pro,2.0,4.0,6
MIBR,Team 3DMAX,2.0,4.0,6
WW Team,K27,2.0,4.0,6
paiN Gaming,G2 Esports,1.0,5.0,6
Legacy,Astralis,3.0,3.0,6
BetBoom Team,MIBR,3.0,3.0,6
Eternal Fire,FaZe Clan,2.0,4.0,6
Eternal Fire,BetBoom Team,4.0,2.0,6
EYEBALLERS,Zero Tenacity,2.0,4.0,6
Sangal Esports,CYBERSHOKE Esports,3.0,3.0,6
Permitta Esports,Passion UA,3.0,3.0,6
BetBoom Team,B8 Esports,3.0,3.0,6
Virtus.pro,FaZe Clan,3.0,3.0,6
Astralis,Team 3DMAX,5.0,1.0,6
FAVBET Team,Monte,1.0,5.0,6
GamerLegion,paiN Gaming,3.0,3.0,6
Nemiga Gaming,CYBERSHOKE Esports,3.0,3.0,6
Eternal Fire,The Mongolz,2.0,4.0,6
GamerLegion,Fnatic,4.0,2.0,6
FaZe Clan,Complexity,4.0,2.0,6
